證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","6666000","924033100","140.40","140.40","138.10","138.25","-2.3500","3957"
"0051","元大中型100","185000","10284950","55.95","56.10","55.00","55.00","-1.2000","91"
"0052","富邦科技","1130000","143084000","128.75","128.75","126.00","126.00","-3.5500","624"
"0053","元大電子","25000","1701050","69.00","69.00","67.05","67.25","-1.3500","23"
"0054","元大台商50","8000","257040","32.32","32.32","32.00","32.00","-0.5500","8"
"0055","元大MSCI金融","300000","6334090","21.12","21.36","21.06","21.06","0.0100","117"
"0056","元大高股息","15569000","560718730","36.12","36.17","35.90","35.91","-0.2100","7826"
"0057","富邦摩台","22000","2073500","94.45","94.45","94.05","94.05","-1.9500","4"
"0061","元大寶滬深","217000","5083220","23.45","23.50","23.33","23.33","-0.2200","122"
"006203","元大MSCI台灣","10000","656150","65.65","65.65","65.30","65.30","-1.9000","6"
"006204","永豐臺灣加權","20000","1761000","88.05","88.05","88.05","88.05","-1.1500","2"
"006205","富邦上証","960000","35958440","37.78","37.78","37.33","37.35","-0.5400","220"
"006206","元大上證50","109000","4119970","38.05","38.05","37.59","37.64","-0.4500","50"
"006207","FH滬深","152000","4609150","30.32","30.57","30.23","30.23","-0.4500","16"
"006208","富邦台50","2283000","181737550","80.65","80.65","79.30","79.35","-1.4000","1515"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","6083000","770904050","129.70","129.80","125.50","125.50","-4.9500","1608"
"00632R","元大台灣50反1","280122000","1614806660","5.70","5.80","5.70","5.79","0.1000","10835"
"00633L","富邦上証正2","3594000","235808800","66.95","67.15","65.00","65.00","-2.3500","1163"
"00634R","富邦上証反1","788000","3097380","3.91","3.96","3.90","3.96","0.0700","63"
"00635U","期元大S&P黃金","803000","19132630","23.80","23.88","23.80","23.84","-0.1600","209"
"00636","國泰中國A50","1169000","31504890","27.30","27.30","26.82","26.82","-0.4900","345"
"00636K","國泰中國A50+U","200","1920","9.60","9.60","9.60","9.60","-0.1500","2"
"00637L","元大滬深300正2","34665000","900282650","26.50","26.53","25.70","25.70","-0.9300","6373"
"00638R","元大滬深300反1","602000","4757950","7.84","7.96","7.83","7.95","0.1700","133"
"00639","富邦深100","1691000","28365170","16.89","16.92","16.70","16.70","-0.2000","227"
"00640L","富邦日本正2","114000","3116370","27.60","27.60","27.25","27.27","-0.4300","42"
"00641R","富邦日本反1","73000","801210","10.91","11.05","10.91","11.05","0.2400","36"
"00642U","期元大S&P石油","20524000","221838880","10.86","10.87","10.75","10.76","-0.1100","2165"
"00643","群益深証中小","681000","11955510","17.68","17.72","17.50","17.50","-0.1500","188"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","32000","788720","24.90","24.90","24.56","24.57","-0.3400","23"
"00646","元大S&P500","501000","17985520","35.85","36.00","35.85","35.89","-0.0200","168"
"00647L","元大S&P500正2","48000","2988050","62.40","62.40","62.15","62.20","-0.3500","36"
"00648R","元大S&P500反1","3425000","25291880","7.37","7.40","7.37","7.40","0.0300","108"
"00650L","FH香港正2","1439000","42149300","30.46","30.46","29.07","29.15","-1.9500","331"
"00651R","FH香港反1","632000","4435590","6.95","7.04","6.90","7.04","0.2400","102"
"00652","富邦印度","314000","7617220","24.56","24.56","24.10","24.28","-0.4700","160"
"00653L","富邦印度正2","2572000","85373410","33.55","33.58","32.69","33.35","-1.3800","769"
"00654R","富邦印度反1","2998000","31412490","10.05","10.70","10.05","10.55","0.8300","870"
"00655L","國泰中國A50正2","2328000","114993920","50.25","50.50","48.85","48.85","-2.1000","848"
"00656R","國泰中國A50反1","183000","1329060","7.21","7.29","7.21","7.29","0.1300","15"
"00657","國泰日經225","100000","3555000","35.55","35.55","35.55","35.55","-0.0500","2"
"00657K","國泰日經225+U","200","2540","12.70","12.70","12.70","12.70","-0.0600","2"
"00660","元大歐洲50","18000","509850","28.32","28.34","28.30","28.34","-0.2900","5"
"00661","元大日經225","52000","1872320","36.11","36.11","35.95","35.95","-0.2000","17"
"00662","富邦NASDAQ","225000","11234600","50.20","50.20","49.85","49.85","-0.4000","84"
"00663L","國泰臺灣加權正2","1510000","171810400","116.70","116.70","113.35","113.40","-4.0500","57"
"00664R","國泰臺灣加權反1","20979000","136999060","6.48","6.58","6.47","6.58","0.1200","748"
"00665L","富邦恒生國企正2","574000","13915270","24.78","24.87","23.97","24.00","-1.5500","259"
"00666R","富邦恒生國企反1","122000","1365590","11.14","11.20","11.14","11.20","0.3700","5"
"00668","國泰美國道瓊","32000","1098200","34.26","34.35","34.26","34.35","0.2200","23"
"00668K","國泰美國道瓊+U","200","2450","12.25","12.25","12.25","12.25","0.0100","2"
"00669R","國泰美國道瓊反1","2388000","19625520","8.21","8.23","8.20","8.22","0.0000","194"
"00670L","富邦NASDAQ正2","692000","64526450","93.50","93.55","92.95","92.95","-2.1000","153"
"00671R","富邦NASDAQ反1","5082000","29800230","5.85","5.88","5.84","5.88","0.0700","245"
"00673R","期元大S&P原油反1","428000","7655150","17.83","17.97","17.81","17.96","0.1800","94"
"00674R","期元大S&P黃金反1","79000","1068200","13.55","13.55","13.50","13.51","0.1000","23"
"00675L","富邦臺灣加權正2","1936000","94721870","50.20","50.20","48.48","48.51","-1.9900","423"
"00676R","富邦臺灣加權反1","14172000","50495630","3.52","3.59","3.52","3.58","0.0700","605"
"00677U","期富邦VIX","146096000","248232960","1.69","1.72","1.68","1.71","0.0800","6553"
"00678","群益NBI生技","330000","9259930","28.10","28.10","28.04","28.06","-0.1200","26"
"00680L","元大美債20正2","33000","732880","22.20","22.25","22.19","22.23","0.0200","12"
"00681R","元大美債20反1","12000","172200","14.35","14.35","14.35","14.35","0.0200","2"
"00682U","期元大美元指數","114000","2065330","18.07","18.16","18.07","18.16","0.1600","51"
"00683L","期元大美元指正2","1016000","17093350","16.75","16.86","16.75","16.85","0.2500","319"
"00684R","期元大美元指反1","10000","191400","19.14","19.14","19.14","19.14","-0.2000","1"
"00685L","群益臺灣加權正2","13000","556770","42.67","43.07","42.67","42.70","-1.2600","9"
"00686R","群益臺灣加權反1","363000","1406650","3.84","3.91","3.84","3.91","0.0900","45"
"00688L","國泰20年美債正2","340000","7534720","22.14","22.23","22.14","22.22","-0.0400","14"
"00689R","國泰20年美債反1","317000","4777100","15.08","15.08","15.06","15.06","0.0000","18"
"00690","兆豐藍籌30","86000","2874800","33.83","33.83","33.13","33.13","-0.6600","28"
"00692","富邦公司治理","2865000","101158010","35.73","35.73","35.17","35.21","-0.5200","1178"
"00693U","期街口S&P黃豆","2045000","48164830","23.62","23.65","23.46","23.54","0.5300","433"
"00700","富邦恒生國企","154000","2937000","19.30","19.30","18.96","19.00","-0.5500","73"
"00701","國泰股利精選30","3048000","73767270","24.21","24.29","24.10","24.10","-0.0300","866"
"00702","國泰標普低波高息","110000","2250820","20.29","20.48","20.29","20.45","0.1600","18"
"00703","台新MSCI中國","166000","4125100","25.03","25.03","24.76","24.76","-0.7200","48"
"00706L","期元大S&P日圓正2","41000","663220","16.21","16.22","16.14","16.14","-0.2800","29"
"00707R","期元大S&P日圓反1","1000","19700","19.70","19.70","19.70","19.70","0.0000","1"
"00708L","期元大S&P黃金正2","1445000","37449850","25.89","26.03","25.86","25.94","-0.3100","497"
"00709","富邦歐洲","136000","3144060","23.20","23.20","23.05","23.05","-0.1800","15"
"00710B","FH彭博高收益債","319000","5882010","18.45","18.45","18.42","18.44","0.0200","119"
"00711B","FH彭博新興債","116000","2308550","19.91","19.91","19.90","19.91","0.0300","15"
"00712","FH富時不動產","2285000","32932200","14.43","14.43","14.38","14.38","-0.0200","641"
"00713","元大台灣高息低波","159000","6948550","43.70","44.05","43.27","43.27","-0.4700","99"
"00714","群益道瓊美國地產","34000","722320","21.20","21.31","21.20","21.25","0.3100","17"
"00715L","期街口布蘭特正2","61742000","439109390","7.16","7.19","7.05","7.07","-0.0700","3083"
"00717","富邦美國特別股","1182000","19846180","16.86","16.86","16.76","16.80","-0.0600","306"
"00728","第一金工業30","1134000","33286000","30.02","30.10","29.03","29.10","-0.7700","652"
"00730","富邦臺灣優質高息","730000","15798060","21.78","21.78","21.54","21.55","-0.2300","352"
"00731","FH富時高息低波","294000","17004550","57.95","57.95","57.60","57.65","-0.3000","31"
"00732","國泰RMB短期報酬","100000","3950000","39.50","39.50","39.50","39.50","0.1000","2"
"00733","富邦臺灣中小","680000","29823380","44.16","44.32","43.35","43.45","-0.6200","379"
"00735","國泰臺韓科技","136000","4689560","35.18","35.18","34.20","34.23","-0.9800","23"
"00736","國泰新興市場","106000","2495530","23.57","23.74","23.54","23.54","-0.4700","7"
"00737","國泰AI+Robo","294000","9533800","32.60","32.60","32.35","32.37","-0.7000","115"
"00738U","期元大道瓊白銀","1616000","43418410","26.91","26.95","26.81","26.84","-0.4800","410"
"00739","元大MSCI A股","258000","7118220","27.96","27.96","27.50","27.51","-0.4600","48"
"00742","新光內需收益","84000","1918540","22.90","22.91","22.80","22.80","-0.1600","27"
"00743","國泰中國A150","102000","2946750","28.75","29.00","28.75","28.89","-0.1800","4"
"00752","中信中國50","2712000","80220090","29.90","29.90","29.45","29.52","-0.7100","1630"
"00753L","中信中國50正2","985000","36840160","38.39","38.39","37.05","37.18","-2.1100","494"
"00757","統一FANG+","1126000","53548660","47.85","47.85","47.44","47.44","-0.9000","545"
"00762","元大全球AI","894000","34287640","38.58","38.58","38.22","38.36","-0.4700","400"
"00763U","期街口道瓊銅","878000","25651640","29.59","29.59","28.96","28.96","-0.5500","348"
"00770","國泰北美科技","315000","11209950","35.64","35.64","35.41","35.41","-0.4200","20"
"00771","元大US高息特別股","99000","1901740","19.26","19.26","19.19","19.20","-0.0800","41"
"00774B","新光中國政金綠債","2000","77340","38.67","38.67","38.67","38.67","0.1200","2"
"00774C","新光中政金綠債+R","","","","","","","0.0000",""
"00775B","新光投等債15+","2000","81920","40.96","40.96","40.96","40.96","0.1200","2"
"00783","富邦中証500","856000","18566770","21.66","21.72","21.64","21.65","-0.2000","24"
"008201","BP上證50","400","49330","123.35","123.35","123.25","123.25","-1.7500","2"
"00830","國泰費城半導體","2435000","67326860","27.82","27.86","27.55","27.58","-0.6900","947"
"00850","元大臺灣ESG永續","3619000","125141920","35.02","35.02","34.42","34.45","-0.6000","1821"
"00851","台新全球AI","63000","1918280","30.50","30.50","30.41","30.41","-0.3800","16"
"00852L","國泰美國道瓊正2","314000","6331470","20.14","20.18","20.12","20.15","0.1000","68"
"00861","元大全球未來通訊","890000","25582670","28.98","28.98","28.66","28.66","-0.3400","337"
"00865B","國泰US短期公債","120000","4369920","36.50","36.50","36.40","36.40","0.1000","8"
"00875","國泰網路資安","234000","7198160","30.86","30.86","30.73","30.73","-0.3400","143"
"00876","元大未來關鍵科技","1732000","50529290","29.54","29.54","29.09","29.09","-0.7100","853"
"00878","國泰永續高股息","9125000","174104270","19.15","19.17","19.00","19.02","-0.1300","3694"
"00881","國泰台灣5G+","69285000","1252755670","18.49","18.49","17.98","18.00","-0.6000","22957"
"00882","中信中國高股息","26149000","415631280","16.06","16.06","15.84","15.85","-0.2300","11309"
"00885","富邦越南","39521000","608939090","15.20","15.61","15.20","15.52","0.1700","9279"
"01001T","土銀富邦R1","16000","296910","18.70","18.70","18.49","18.60","0.0000","6"
"01002T","土銀國泰R1","141000","2625360","18.71","18.71","18.10","18.70","-0.0900","71"
"01003T","兆豐新光R1","86000","1661840","19.35","19.38","19.27","19.34","-0.0500","25"
"01004T","土銀富邦R2","113000","1969980","17.49","17.49","17.39","17.39","-0.1000","22"
"01007T","兆豐國泰R2","250000","5166520","20.91","20.99","20.10","20.91","0.0000","127"
"01009T","王道圓滿R1","83000","796690","9.61","9.61","9.56","9.61","0.0000","14"
"01010T","京城樂富R1","157000","1714700","10.95","10.95","10.91","10.94","0.0000","43"
"020000","富邦特選蘋果N","5000","38610","7.77","7.77","7.68","7.68","-0.2300","4"
"020002","元富新中國N","2000","40440","20.22","20.22","20.22","20.22","-0.2000","1"
"020004","兆豐電菁英30N","","","","","","","0.0000",""
"020006","永昌中小300N","1000","32710","32.71","32.71","32.71","32.71","0.0000","1"
"020007","凱基臺灣500N","","","","","","","0.0000",""
"020008","元大特股高息N","25000","302520","12.12","12.12","12.10","12.10","-0.0100","11"
"020011","統一微波高息20N","38000","242040","6.26","6.41","6.25","6.37","-0.0100","11"
"020012","富邦行動通訊N","46000","309860","6.88","6.88","6.72","6.72","-0.2200","13"
"020015","統一MSCI美低波N","2000","28760","14.38","14.38","14.38","14.38","0.0300","1"
"020016","統一MSCI美科技N","","","","","","","0.0000",""
"020018","統一價值成長30N","394000","6389840","16.25","16.33","15.98","15.99","-0.1600","56"
"020019","統一特選台灣5GN","634000","9069830","14.83","14.83","14.26","14.30","-0.5300","62"
"02001L","富邦蘋果正二N","31000","397770","13.07","13.07","12.72","12.72","-0.5700","8"
"02001R","富邦蘋果反一N","","","","","","","0.0000",""
"020020","元大台股領航N","3763000","27320970","7.35","7.36","7.20","7.24","-0.0800","1110"
"020022","元大電動車N","21591000","139508020","6.65","6.65","6.35","6.37","-0.2800","4052"
"1101","台泥","58625000","3008462900","52.00","52.00","50.60","51.20","-0.9000","21842"
"1101B","台泥乙特","9000","480900","53.70","53.70","53.20","53.60","-0.1000","9"
"1102","亞泥","11788000","585298150","49.75","49.95","49.50","49.60","-0.3500","4382"
"1103","嘉泥","5677000","144160800","26.00","26.00","25.00","25.00","-1.0000","2245"
"1104","環泥","3547000","90251100","26.10","26.10","25.00","25.00","-1.1000","1464"
"1108","幸福","2609000","43351550","16.95","17.10","16.30","16.30","-0.6000","1097"
"1109","信大","1305000","37659800","29.05","29.55","28.30","28.50","-0.5500","699"
"1110","東泥","407000","7117150","18.00","18.00","17.05","17.05","-0.9500","201"
"1201","味全","4349000","104830900","24.55","24.55","23.80","23.90","-0.6500","1880"
"1203","味王","95000","3448700","36.60","36.70","36.10","36.20","-0.3000","53"
"1210","大成","6182000","372264500","59.90","60.90","59.80","60.10","0.2000","3115"
"1213","大飲","8000","66360","8.32","8.32","8.14","8.30","-0.4500","7"
"1215","卜蜂","1966000","157761600","80.20","81.50","79.60","79.60","0.1000","1316"
"1216","統一","6995000","524338400","74.10","76.00","74.10","74.50","-0.6000","3069"
"1217","愛之味","21300000","264050500","12.90","12.90","12.10","12.15","-0.8500","7083"
"1218","泰山","3330000","106404750","32.90","32.95","31.65","31.70","-1.2000","1643"
"1219","福壽","13305000","390580200","29.20","30.35","28.40","28.95","0.6000","5689"
"1220","台榮","4204000","78554600","18.95","19.30","18.30","18.30","-0.6000","1786"
"1225","福懋油","7823000","500051500","60.50","66.20","59.00","63.80","3.6000","4609"
"1227","佳格","2865000","161203900","56.80","56.90","56.10","56.20","-0.7000","1800"
"1229","聯華","2519000","122311150","49.05","49.10","48.30","48.40","-0.8500","1614"
"1231","聯華食","883000","52632000","59.30","60.80","58.40","59.80","0.5000","567"
"1232","大統益","708000","120904000","175.50","175.50","168.00","169.00","-8.5000","582"
"1233","天仁","60000","2213600","37.30","37.30","36.55","37.00","-0.1500","42"
"1234","黑松","477000","17679200","37.50","37.50","36.80","36.95","-0.5500","235"
"1235","興泰","82000","2853400","35.00","35.65","34.20","34.70","-0.2500","55"
"1236","宏亞","892000","14549500","17.10","17.10","15.50","15.60","-1.5500","438"
"1256","鮮活果汁-KY","44000","20087000","463.00","463.00","452.50","460.00","-2.0000","43"
"1301","台塑","13644000","1469071500","106.00","109.00","106.00","107.50","1.5000","5685"
"1303","南亞","12689000","1119123600","87.50","89.60","87.40","87.90","-0.3000","6460"
"1304","台聚","84019000","3421890550","41.70","42.80","38.60","39.00","-2.3500","36365"
"1305","華夏","23710000","1045518650","44.05","45.65","42.90","43.15","-0.6000","11055"
"1307","三芳","535000","12179250","23.30","23.30","22.60","22.60","-0.9000","284"
"1308","亞聚","44288000","1572107850","35.50","36.65","34.30","34.75","-0.2500","18633"
"1309","台達化","12836000","627724900","49.35","49.90","47.55","47.95","-1.2500","6521"
"1310","台苯","7239000","155819150","21.90","22.10","21.00","21.00","-0.9000","2775"
"1312","國喬","46156000","1536875300","33.45","34.20","32.50","32.65","-0.8500","14615"
"1312A","國喬特","18000","682800","38.80","38.80","37.30","38.40","0.6000","16"
"1313","聯成","38224000","1134033800","30.45","30.50","28.70","28.90","-1.4500","12857"
"1314","中石化","341976000","5680885000","16.30","17.05","16.05","16.50","0.6000","66451"
"1315","達新","155000","11650800","75.50","75.70","75.00","75.00","-0.5000","114"
"1316","上曜","3355000","43155300","12.65","13.15","12.65","12.70","0.0500","1068"
"1319","東陽","1566000","58843450","38.05","38.15","37.15","37.15","-0.9000","892"
"1321","大洋","1110000","44917250","41.10","41.25","39.85","39.85","-1.1500","543"
"1323","永裕","311000","10995300","35.90","35.90","35.15","35.30","-0.6000","195"
"1324","地球","364000","4481100","12.50","12.55","12.20","12.20","-0.3500","155"
"1325","恆大","6133000","555675600","90.00","93.00","87.60","87.70","1.0000","4044"
"1326","台化","6388000","581206700","90.00","92.10","90.00","90.30","-0.6000","3158"
"1337","再生-KY","5886000","53152840","9.16","9.18","8.89","8.93","0.0400","1658"
"1338","廣華-KY","602000","41564600","71.00","71.00","68.20","68.80","-2.0000","451"
"1339","昭輝","570000","22816000","40.60","40.80","39.70","40.30","-0.5000","408"
"1340","勝悅-KY","682000","8303150","12.50","12.50","12.05","12.05","-0.4500","337"
"1341","富林-KY","66000","5384400","82.40","82.40","81.00","81.00","-1.4000","34"
"1342","八貫","115000","6602600","58.40","58.40","56.80","57.10","-1.5000","88"
"1402","遠東新","12408000","406037400","33.25","33.50","32.30","32.35","-0.9000","3721"
"1409","新纖","94643000","2360958150","24.15","25.85","23.80","24.40","0.2500","32167"
"1410","南染","668000","24853250","35.50","38.80","35.50","37.05","1.5500","328"
"1413","宏洲","2909000","34526700","11.40","11.90","11.40","11.90","1.0500","582"
"1414","東和","22383000","444506900","18.90","20.00","18.70","20.00","1.8000","4984"
"1416","廣豐","1574000","19189600","12.50","12.50","12.10","12.10","-0.4000","492"
"1417","嘉裕","3768000","56322850","14.80","15.35","14.55","14.60","-0.2000","1368"
"1418","東華","40000","434800","11.05","11.10","10.70","11.10","0.1000","14"
"1419","新紡","96000","4064500","42.80","43.00","42.05","42.45","-0.3500","64"
"1423","利華","4015000","95930900","22.30","24.50","22.30","24.50","2.2000","1770"
"1432","大魯閣","360000","5668550","16.20","16.20","15.55","15.70","-0.6500","265"
"1434","福懋","8869000","298229450","33.20","34.10","33.20","33.45","0.3500","3969"
"1435","中福","107000","2302700","22.20","22.20","21.20","21.40","-0.8000","66"
"1436","華友聯","21000","839800","40.10","40.10","39.75","40.05","-0.0500","20"
"1437","勤益控","521000","13717250","26.55","27.00","25.55","25.75","-0.7000","250"
"1438","三地開發","301000","9544800","32.20","32.20","31.55","31.55","-0.8500","38"
"1439","中和","319000","8012050","25.10","25.95","24.95","24.95","-0.3500","132"
"1440","南紡","130437000","4005919450","29.60","31.05","29.10","31.05","2.8000","28712"
"1441","大東","4624000","65079550","13.50","14.30","13.50","14.30","1.3000","1667"
"1442","名軒","821000","14594150","18.10","18.10","17.60","17.70","-0.4500","277"
"1443","立益","128000","1668500","13.50","13.50","12.85","13.00","-0.5500","56"
"1444","力麗","62110000","957044650","15.25","15.85","14.70","14.90","-0.2000","17527"
"1445","大宇","706000","9663650","13.50","14.10","13.45","13.60","0.0500","276"
"1446","宏和","173000","5019300","29.15","29.15","28.90","28.95","-0.2500","83"
"1447","力鵬","76408000","1127091600","14.05","15.30","13.90","14.80","0.7500","20929"
"1449","佳和","580000","12691550","21.50","22.35","21.40","21.80","0.2500","304"
"1451","年興","1198000","25629400","21.30","21.95","20.85","21.05","-0.2000","503"
"1452","宏益","15824000","386249650","23.05","25.15","23.05","23.95","1.0500","6120"
"1453","大將","2336000","24937250","10.60","11.20","10.05","10.60","-0.1500","816"
"1454","台富","1223000","13803250","11.00","11.70","10.75","11.25","0.3000","448"
"1455","集盛","37569000","671216400","17.50","18.40","17.30","17.35","0.1500","10952"
"1456","怡華","270000","5101150","19.20","19.25","18.60","18.65","-0.5500","145"
"1457","宜進","3476000","68476300","19.50","20.10","19.20","19.60","0.1000","1325"
"1459","聯發","4247000","53074700","11.70","12.85","11.70","12.85","1.1500","1287"
"1460","宏遠","17707000","198598400","10.70","11.55","10.65","11.55","1.0500","4138"
"1463","強盛","2214000","32823850","14.40","15.35","14.35","14.90","0.6000","1022"
"1464","得力","3477000","63963700","18.20","18.70","17.95","18.35","0.2000","1216"
"1465","偉全","486000","6573850","13.70","13.70","13.30","13.40","-0.1000","179"
"1466","聚隆","9749000","185956650","17.95","19.60","17.95","19.55","1.7000","3820"
"1467","南緯","15994000","363896850","22.05","23.50","21.95","22.15","0.2000","4037"
"1468","昶和","116000","1736650","15.45","15.50","14.50","15.45","-0.0500","74"
"1470","大統新創","47000","872400","18.05","19.00","18.05","18.10","-0.0500","21"
"1471","首利","7890000","103882700","14.20","14.20","13.00","13.00","-1.4000","2879"
"1472","三洋紡","139000","1414950","10.20","10.20","10.10","10.10","-0.1000","37"
"1473","台南","450000","8756700","19.75","19.75","19.20","19.35","-0.3000","228"
"1474","弘裕","22444000","436590850","18.20","19.85","18.20","19.85","1.8000","7125"
"1475","業旺","176000","9908900","60.30","60.30","53.00","54.60","-4.1000","139"
"1476","儒鴻","524000","281212000","543.00","543.00","533.00","537.00","1.0000","420"
"1477","聚陽","812000","198378500","245.00","246.00","242.00","243.00","-2.0000","531"
"1503","士電","245000","12479500","51.50","51.50","50.50","50.70","-1.0000","147"
"1504","東元","3586000","123636600","35.00","35.05","34.05","34.05","-0.8500","1443"
"1506","正道","644000","7209950","11.50","11.70","11.00","11.10","-0.6000","245"
"1507","永大","185000","11860100","64.70","64.70","63.80","63.80","-0.9000","146"
"1512","瑞利","309000","1565400","5.08","5.08","5.00","5.00","0.0000","68"
"1513","中興電","8376000","439788900","53.40","53.50","52.00","52.00","-1.5000","4423"
"1514","亞力","1509000","39540100","26.80","26.80","26.00","26.00","-0.8000","776"
"1515","力山","3251000","304673200","94.00","96.00","91.00","91.50","-2.5000","1892"
"1516","川飛","206000","4715950","23.80","23.80","22.60","22.60","-1.2000","110"
"1517","利奇","5224000","155580950","30.30","30.75","29.10","29.30","-1.4500","2580"
"1519","華城","3278000","165155100","51.10","51.60","49.15","49.40","-1.7000","2017"
"1521","大億","81000","4295000","53.20","53.20","52.90","52.90","-0.3000","68"
"1522","堤維西","1425000","34472800","24.75","25.00","23.70","23.70","-1.0500","731"
"1524","耿鼎","2387000","27333900","12.00","12.00","11.20","11.20","-0.8000","943"
"1525","江申","247000","17863200","74.60","74.60","71.20","71.50","-3.1000","180"
"1526","日馳","1170000","59316900","52.70","52.70","50.20","50.30","-2.4000","640"
"1527","鑽全","2294000","111099950","50.10","50.20","47.60","47.85","-2.1500","1357"
"1528","恩德","2007000","23258700","12.00","12.00","11.25","11.35","-0.6500","696"
"1529","樂士","402000","7109450","17.80","18.15","17.50","17.55","-0.2500","222"
"1530","亞崴","274000","10653350","39.40","39.40","38.50","38.50","-0.8000","138"
"1531","高林股","617000","10378050","16.95","17.00","16.50","16.75","-0.2500","214"
"1532","勤美","1732000","65501500","38.45","39.00","37.00","37.00","-1.5000","924"
"1533","車王電","1120000","65139500","60.00","60.00","56.50","56.60","-3.8000","837"
"1535","中宇","480000","20344200","42.90","43.20","41.20","41.65","-0.7500","258"
"1536","和大","2493000","251637900","104.00","104.00","99.90","100.50","-3.0000","1557"
"1537","廣隆","95000","14251500","150.00","151.00","149.50","150.00","-0.5000","85"
"1538","正峰","76000","832000","10.20","11.10","10.20","10.90","0.2500","23"
"1539","巨庭","388000","7608350","20.20","20.20","19.20","19.70","-0.5000","184"
"1540","喬福","759000","13132250","17.85","17.85","17.05","17.15","-0.7500","294"
"1541","錩泰","138000","7775600","57.60","57.60","55.90","55.90","-1.7000","101"
"1558","伸興","1008000","183390500","179.00","185.50","178.00","180.50","2.0000","652"
"1560","中砂","1098000","77875200","71.80","71.80","70.50","70.80","-1.7000","727"
