證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"1568","倉佑","981000","28508100","30.40","30.40","28.55","28.55","-1.8500","626"
"1582","信錦","732000","65306300","89.80","90.50","88.70","88.80","-1.0000","542"
"1583","程泰","59000","3811800","65.00","65.00","63.90","63.90","-1.1000","40"
"1587","吉茂","794000","25963850","32.80","33.15","32.05","32.25","-0.6000","419"
"1589","永冠-KY","14424000","1279935800","87.70","92.70","85.90","87.70","2.4000","8516"
"1590","亞德客-KY","1116000","1324725000","1205.00","1215.00","1150.00","1175.00","-5.0000","901"
"1592","英瑞-KY","4398000","23646000","5.95","5.96","4.88","4.88","-0.5400","975"
"1597","直得","1141000","131292000","120.50","120.50","112.00","113.50","-7.0000","916"
"1598","岱宇","1322000","135382500","105.00","105.50","100.50","101.00","-4.0000","904"
"1603","華電","7612000","296960450","37.30","39.20","37.30","39.20","3.5500","2088"
"1604","聲寶","2207000","68505400","31.30","31.35","30.80","30.85","-0.4000","1080"
"1605","華新","124195000","3737700750","30.60","31.50","28.70","28.75","-1.7500","45034"
"1608","華榮","14864000","453432900","32.20","32.25","28.80","28.80","-3.1500","6725"
"1609","大亞","60947000","2101382550","35.00","35.60","33.00","33.00","-1.5000","26864"
"1611","中電","4541000","62148000","14.20","14.25","13.25","13.30","-0.9000","1654"
"1612","宏泰","12387000","402840650","32.55","33.60","31.40","31.45","-0.9000","6508"
"1614","三洋電","222000","8048800","36.80","36.80","35.80","35.90","-0.9000","109"
"1615","大山","1578000","69949650","44.00","46.25","42.20","43.00","-1.6000","946"
"1616","億泰","2064000","21796350","11.05","11.05","10.35","10.35","-0.5500","692"
"1617","榮星","2796000","67898550","25.25","25.85","22.65","22.80","-1.9000","1521"
"1618","合機","5277000","117063700","22.80","22.90","21.60","21.65","-0.9000","2947"
"1626","艾美特-KY","368000","10176550","27.80","27.90","27.50","27.60","-0.2000","132"
"1701","中化","4568000","113151700","24.50","25.10","24.50","24.50","0.2000","1712"
"1702","南僑","4478000","263333900","58.80","59.80","57.80","58.70","0.7000","2700"
"1707","葡萄王","204000","35815000","177.00","177.00","175.00","175.00","-2.0000","171"
"1708","東鹼","15029000","450822450","29.00","30.45","28.95","30.10","1.4000","5730"
"1709","和益","2649000","49989150","18.95","19.10","18.55","18.95","0.0000","951"
"1710","東聯","7375000","173731100","23.50","24.10","23.05","23.10","-0.3500","2591"
"1711","永光","30528000","620084100","19.35","21.00","19.20","21.00","1.9000","9440"
"1712","興農","3737000","84959850","22.50","22.90","22.45","22.60","0.2000","1532"
"1713","國化","764000","18445150","23.60","24.90","23.00","23.85","0.2500","275"
"1714","和桐","56573000","722419750","12.10","13.20","12.10","12.50","0.4000","14406"
"1717","長興","23347000","1022948100","45.80","45.80","42.40","43.00","-2.8000","9381"
"1718","中纖","180890000","2464450850","13.05","14.15","12.70","13.80","0.9000","41766"
"1720","生達","1179000","48164150","40.60","41.25","40.15","40.50","0.4500","772"
"1721","三晃","2995000","37011350","12.25","12.70","12.05","12.20","-0.0500","970"
"1722","台肥","5610000","339585000","61.00","61.40","60.00","60.40","-0.6000","2319"
"1723","中碳","788000","93709000","118.50","120.00","118.00","118.00","-0.5000","481"
"1724","台硝","414000","6550500","15.80","15.85","15.80","15.85","0.0500","105"
"1725","元禎","119000","2735950","23.50","23.60","22.50","22.55","-0.9500","86"
"1726","永記","126000","9304900","74.40","74.50","73.30","73.40","-0.7000","71"
"1727","中華化","191000","2477700","13.15","13.15","12.85","12.85","-0.3000","93"
"1730","花仙子","351000","25650900","74.00","74.00","71.80","71.80","0.0000","282"
"1731","美吾華","2667000","56087600","20.70","21.50","20.65","20.95","0.3000","1056"
"1732","毛寶","1669000","54159050","32.45","32.45","32.45","32.45","2.9500","681"
"1733","五鼎","1945000","50630600","26.00","26.90","25.05","25.80","0.0500","904"
"1734","杏輝","2310000","72944150","31.05","32.15","31.05","31.30","0.3500","1301"
"1735","日勝化","143000","2728500","19.45","19.45","18.90","19.10","0.1000","69"
"1736","喬山","771000","63918000","83.70","84.10","82.10","82.80","-0.7000","515"
"1737","臺鹽","838000","28513900","34.25","34.40","33.80","33.90","-0.3500","411"
"1760","寶齡富錦","1850000","147289400","78.00","82.00","77.60","78.10","1.2000","1301"
"1762","中化生","6794000","457278100","66.50","69.40","65.00","67.80","2.9000","3645"
"1773","勝一","445000","53196500","120.00","121.00","118.50","118.50","-1.0000","345"
"1776","展宇","34000","658050","19.60","19.60","19.20","19.20","-0.4000","26"
"1783","和康生","754000","24902550","33.10","33.90","32.40","32.50","-0.5000","355"
"1786","科妍","137000","7991400","58.80","59.00","57.70","57.70","-0.8000","72"
"1789","神隆","6754000","198068950","28.75","29.85","28.75","29.55","1.0000","3140"
"1795","美時","1170000","92101800","80.50","80.70","77.50","77.70","-2.2000","792"
"1802","台玻","111065000","3914548550","34.25","36.75","34.15","34.45","0.6000","39705"
"1805","寶徠","653000","10122550","15.80","15.80","15.25","15.25","-0.3500","246"
"1806","冠軍","15715000","246152350","16.00","16.50","14.90","15.00","-1.0500","5599"
"1808","潤隆","231000","12921800","56.20","56.50","55.60","55.70","-0.5000","127"
"1809","中釉","8640000","153835200","17.90","18.50","16.90","17.00","-0.8500","3744"
"1810","和成","5162000","68542300","13.70","13.80","12.90","12.90","-0.9000","1836"
"1817","凱撒衛","531000","20407150","39.30","39.30","38.10","38.15","-1.1000","328"
"1903","士紙","791000","45064700","58.00","58.10","56.00","56.60","-1.4000","486"
"1904","正隆","5912000","262617400","44.50","45.25","43.50","44.45","-0.1500","2872"
"1905","華紙","17397000","428166250","26.00","26.00","24.05","24.05","-1.9500","7448"
"1906","寶隆","849000","18502300","22.05","22.35","21.50","21.60","-0.4500","368"
"1907","永豐餘","11654000","431642900","38.00","38.15","36.50","36.55","-1.4500","5374"
"1909","榮成","19890000","566391950","29.20","29.45","27.65","27.75","-1.4500","7771"
"2002","中鋼","362188000","14349157400","40.00","40.95","38.50","38.55","-0.7500","97757"
"2002A","中鋼特","155000","8155000","52.90","53.00","52.30","52.80","0.0000","38"
"2006","東和鋼鐵","25191000","1501458700","60.50","62.00","57.50","58.00","-1.2000","10765"
"2007","燁興","9026000","150264450","16.90","16.95","16.10","16.10","0.0000","3825"
"2008","高興昌","2247000","46684500","21.50","21.80","19.75","19.85","-0.6500","1125"
"2009","第一銅","63665000","3824042600","61.20","63.40","55.20","56.10","-4.4000","32031"
"2010","春源","41755000","1076331150","25.60","26.80","24.25","24.25","-0.4500","15124"
"2012","春雨","9515000","317428250","33.35","34.80","31.00","32.35","-0.8500","4521"
"2013","中鋼構","11429000","568648050","51.50","51.50","48.50","48.50","-0.0500","6354"
"2014","中鴻","217486000","9736546850","43.25","46.45","42.65","42.65","0.0500","77730"
"2015","豐興","2751000","238339900","88.30","90.00","85.00","85.00","-3.3000","1691"
"2017","官田鋼","5612000","129705050","23.20","23.50","22.50","22.50","-0.5000","2747"
"2020","美亞","5538000","159430000","28.85","29.65","28.05","28.10","-0.3000","2316"
"2022","聚亨","23863000","352559550","14.95","15.35","13.95","13.95","-0.9000","8958"
"2023","燁輝","124892000","2959102300","22.80","23.85","22.70","23.85","2.1500","29208"
"2024","志聯","743000","15605800","21.90","21.90","19.55","19.55","-0.8000","362"
"2025","千興","2112000","8408160","4.00","4.00","3.90","3.90","-0.0400","371"
"2027","大成鋼","119079000","5923052550","49.30","51.30","48.20","48.45","0.4500","46657"
"2028","威致","15112000","573454700","37.45","40.05","35.30","35.90","-1.1000","7527"
"2029","盛餘","13154000","521305400","40.10","40.30","37.30","39.10","2.4500","6056"
"2030","彰源","24926000","492489350","19.50","20.50","19.10","19.25","0.4500","8353"
"2031","新光鋼","52999000","4223062400","80.40","84.50","72.50","72.60","-7.9000","27588"
"2032","新鋼","8492000","190038050","22.30","23.40","21.00","21.00","-1.0500","3651"
"2033","佳大","1190000","24109900","20.65","20.95","19.25","19.25","-1.3000","661"
"2034","允強","23115000","719911650","31.35","32.15","30.20","30.30","-0.3500","9328"
"2038","海光","71211000","2626727200","36.40","39.00","33.10","33.20","-2.6500","29263"
"2049","上銀","2156000","898109000","428.00","434.00","409.00","410.00","-15.0000","1894"
"2059","川湖","102000","36212000","358.50","358.50","352.00","354.50","-5.5000","86"
"2062","橋椿","1242000","40566250","33.90","33.90","31.90","31.95","-2.0500","635"
"2069","運錩","30121000","830214900","27.30","28.25","25.20","25.60","-0.1000","9761"
"2101","南港","2584000","109373550","43.30","43.35","41.50","41.60","-1.8000","1077"
"2102","泰豐","4752000","117933550","25.50","25.65","24.30","24.40","-1.1000","1448"
"2103","台橡","39711000","1447407500","37.15","38.20","34.60","35.10","-1.0000","14146"
"2104","國際中橡","7920000","236205250","29.65","30.50","29.40","29.40","-0.9500","3155"
"2105","正新","13236000","699451700","54.00","54.50","52.20","52.50","-1.6000","5591"
"2106","建大","3055000","136117350","45.30","45.80","43.80","44.10","-1.8000","1662"
"2107","厚生","2564000","69604400","27.60","27.70","26.70","26.75","-0.7500","1121"
"2108","南帝","14221000","1997075500","136.50","147.50","133.00","135.00","-1.5000","9312"
"2109","華豐","1596000","33228300","21.55","21.55","20.50","20.50","-0.7000","677"
"2114","鑫永銓","611000","78704000","131.50","131.50","126.50","126.50","-7.5000","432"
"2115","六暉-KY","491000","25637500","51.80","53.20","51.30","52.00","0.2000","245"
"2201","裕隆","10708000","469630050","45.30","45.40","42.80","42.95","-2.4500","4926"
"2204","中華","2095000","148322800","71.60","71.70","70.00","70.40","-1.3000","1063"
"2206","三陽工業","5367000","176053700","32.80","33.30","32.45","32.45","0.1000","2247"
"2207","和泰車","306000","181392000","598.00","602.00","587.00","592.00","-12.0000","273"
"2208","台船","30939000","807498250","25.40","26.80","25.35","25.50","0.2000","12670"
"2211","長榮鋼","3586000","210773700","60.80","61.00","58.00","58.10","-2.6000","2722"
"2227","裕日車","124000","34732500","282.50","282.50","279.00","280.00","-2.5000","100"
"2228","劍麟","243000","19271300","80.20","80.20","78.80","78.80","-1.6000","193"
"2231","為升","1254000","284747000","236.00","237.00","222.00","222.00","-13.0000","962"
"2233","宇隆","1344000","153721000","118.50","118.50","112.50","113.00","-4.5000","933"
"2236","百達-KY","74000","2176500","28.90","29.90","28.90","29.40","-0.3000","62"
"2239","英利-KY","839000","89971000","115.50","116.00","103.50","103.50","-11.5000","620"
"2241","艾姆勒","456000","27423300","61.00","61.00","59.60","59.80","-1.6000","339"
"2243","宏旭-KY","38000","432750","11.75","11.75","11.30","11.30","-0.4000","19"
"2247","汎德永業","153000","37127500","245.50","245.50","241.50","241.50","-4.0000","129"
"2301","光寶科","16673000","1104093700","65.10","67.50","64.50","67.10","3.2000","7154"
"2302","麗正","1834000","38895800","21.60","21.90","20.90","20.95","-0.6500","512"
"2303","聯電","321813000","17381517900","55.00","55.40","52.80","53.00","-3.7000","123963"
"2305","全友","3854000","40043950","10.90","10.95","10.10","10.15","-0.8000","1183"
"2308","台達電","11453000","3505859000","306.00","310.00","303.00","306.50","4.0000","7985"
"2312","金寶","38410000","665000550","17.85","17.85","17.00","17.00","-0.9500","12843"
"2313","華通","15487000","654782800","43.30","43.30","41.80","41.80","-1.5500","7338"
"2314","台揚","11998000","503636250","44.70","44.70","40.55","40.55","-4.3500","5612"
"2316","楠梓電","2182000","72297350","34.25","34.80","32.35","32.50","-2.0500","1190"
"2317","鴻海","71269000","8065048500","115.00","115.00","112.00","112.50","-3.5000","31287"
"2321","東訊","182000","1773920","9.68","9.78","9.68","9.68","0.3900","75"
"2323","中環","24107000","287591950","12.20","12.20","11.60","11.90","-0.3000","4550"
"2324","仁寶","27360000","668826150","24.80","24.90","24.30","24.35","-0.6500","9207"
"2327","國巨","6813000","3608606000","542.00","543.00","522.00","522.00","-21.0000","5393"
"2328","廣宇","14255000","556259150","40.50","40.50","38.30","38.75","-1.9000","7429"
"2329","華泰","11551000","204029000","18.35","18.35","17.25","17.45","-0.9000","3561"
"2330","台積電","41458000","24515068000","595.00","597.00","588.00","588.00","-12.0000","25863"
"2331","精英","9658000","255292400","27.40","27.40","26.00","26.00","-1.4000","3947"
"2332","友訊","12013000","262416600","22.90","22.90","21.15","21.25","-1.6000","4058"
"2337","旺宏","66189000","3061217650","46.00","47.10","45.30","45.55","-0.3000","22998"
"2338","光罩","16121000","1275313400","83.00","83.00","76.30","77.10","-6.5000","9413"
"2340","光磊","7735000","211437300","28.20","28.20","26.80","26.90","-1.2500","3411"
"2342","茂矽","3407000","126057450","38.20","38.20","36.35","36.45","-1.7500","1885"
"2344","華邦電","117183000","4016898350","35.60","35.60","33.50","33.50","-2.2000","39304"
"2345","智邦","4025000","1258516000","310.00","318.50","302.50","315.50","-2.5000","3034"
"2347","聯強","4674000","260605300","55.20","56.30","55.20","55.80","0.1000","2646"
"2348","海悅","735000","79021000","106.50","110.00","106.00","107.00","0.5000","469"
"2349","錸德","8858000","107625100","12.50","12.55","11.90","11.95","-0.5000","2456"
"2351","順德","4208000","356494800","88.40","88.50","82.00","82.20","-6.8000","2872"
"2352","佳世達","20907000","735121100","36.40","36.50","34.30","34.45","-1.9500","10222"
"2353","宏碁","37770000","1242299850","34.10","34.30","32.10","32.25","-2.0500","13092"
"2354","鴻準","14899000","997114100","68.90","69.00","66.00","66.70","-2.3000","8422"
"2355","敬鵬","6951000","240097600","36.45","36.45","33.50","33.60","-2.8500","4036"
"2356","英業達","15792000","425223050","27.10","27.20","26.70","26.70","-0.4500","5906"
"2357","華碩","3480000","1316428500","372.50","381.00","372.50","376.50","0.5000","2475"
"2358","廷鑫","2021000","37547900","18.35","19.50","18.05","18.10","-0.0500","959"
"2359","所羅門","990000","19188300","19.90","19.90","19.00","19.05","-0.7500","420"
"2360","致茂","1536000","293862000","198.00","198.50","186.50","186.50","-7.5000","1126"
"2362","藍天","1250000","39807450","32.50","32.70","31.55","31.65","-0.8500","567"
"2363","矽統","27196000","651627250","25.10","25.10","23.25","23.30","-2.0000","10994"
"2364","倫飛","1227000","4390260","3.56","3.58","3.56","3.58","0.3200","150"
"2365","昆盈","4724000","66565650","14.75","14.75","13.80","13.80","-0.9500","1647"
"2367","燿華","7004000","147579450","21.60","21.60","20.70","20.80","-0.8000","3060"
"2368","金像電","10569000","560631300","54.90","55.00","52.40","52.40","-2.5000","4689"
"2369","菱生","8282000","154944700","18.70","19.25","18.15","18.35","-0.5000","3301"
"2371","大同","31519000","823736200","26.80","26.85","25.70","25.75","-1.2500","9380"
"2373","震旦行","96000","8855000","92.10","93.00","92.10","92.10","-0.1000","77"
"2374","佳能","2679000","47672650","18.50","18.50","17.55","17.55","-1.0500","904"
"2375","凱美","10359000","1208066000","123.50","123.50","112.50","113.50","-11.5000","6667"
"2376","技嘉","20177000","2612996000","130.00","134.50","125.00","125.00","2.0000","11554"
"2377","微星","20831000","3970609500","195.00","200.50","183.50","188.00","3.5000","11468"
"2379","瑞昱","2703000","1421958000","528.00","539.00","519.00","519.00","-13.0000","2259"
"2380","虹光","2959000","42621750","14.70","15.00","13.95","14.35","-0.4000","1341"
"2382","廣達","11304000","1094040700","97.10","98.00","96.20","96.20","-2.2000","3601"
"2383","台光電","5688000","1032278000","180.00","184.50","178.00","179.50","1.5000","3582"
"2385","群光","2516000","212742600","84.50","85.00","84.00","84.60","0.1000","1536"
"2387","精元","1832000","112874600","63.10","63.10","60.80","60.90","-2.2000","1061"
"2388","威盛","6609000","364030200","55.30","56.80","53.40","53.40","0.2000","3744"
"2390","云辰","33922000","660216900","18.45","19.85","18.45","19.85","1.6500","10206"
"2392","正崴","3504000","159211350","46.05","46.15","45.00","45.10","-1.2500","1945"
"2393","億光","5679000","266605850","46.50","47.50","46.05","46.45","0.1000","3077"
"2395","研華","849000","304425500","355.00","361.00","355.00","358.50","2.5000","660"
"2397","友通","89000","6022700","68.50","68.50","67.10","67.50","-1.0000","65"
"2399","映泰","9807000","295790550","32.05","32.15","28.50","28.65","-2.3500","5127"
"2401","凌陽","89906000","3034223700","35.20","35.25","31.60","32.20","-2.8500","32214"
"2402","毅嘉","6724000","131048800","20.45","20.45","18.95","19.05","-1.4500","2685"
"2404","漢唐","2802000","662926500","242.50","242.50","232.50","233.50","-10.0000","2114"
"2405","浩鑫","4433000","61543000","14.15","14.25","13.60","13.65","-0.6000","1700"
"2406","國碩","2982000","59690650","20.20","20.45","19.60","19.60","-0.3500","1351"
"2408","南亞科","24457000","2181185800","93.00","93.00","87.50","87.70","-3.9000","12354"
"2409","友達","464837000","14196112250","31.00","31.65","29.85","29.85","-3.3000","141665"
"2412","中華電","8865000","1003400000","113.50","114.00","113.00","113.00","-1.0000","3999"
"2413","環科","1936000","50879300","27.85","27.95","25.25","25.55","-2.2500","1023"
"2414","精技","589000","16972750","28.90","29.50","28.55","28.60","-0.3000","281"
"2415","錩新","1303000","49521650","38.05","39.00","36.35","36.35","-1.2500","791"
"2417","圓剛","2936000","139538250","48.80","48.80","46.50","46.60","-1.1500","1649"
"2419","仲琦","4532000","106866300","24.50","24.50","22.90","23.00","-2.3500","2168"
"2420","新巨","601000","23331850","39.30","39.30","38.65","38.75","-0.5500","365"
"2421","建準","3053000","160726800","53.00","53.80","51.60","51.70","-1.2000","1846"
"2423","固緯","191000","4860050","25.50","25.65","25.30","25.30","-0.2000","109"
"2424","隴華","4000","112200","28.10","28.10","28.00","28.00","-0.1000","4"
"2425","承啟","1236000","42111950","35.00","35.10","33.20","34.70","-0.3000","770"
"2426","鼎元","6662000","194506300","29.75","29.75","28.65","28.65","-0.5000","2813"
"2427","三商電","2135000","27598850","13.35","13.35","12.70","12.80","-0.5500","629"
"2428","興勤","1247000","216488000","183.00","183.00","170.00","170.00","-14.0000","1016"
"2429","銘旺科","107000","1928100","18.25","18.30","17.80","17.95","-0.3500","51"
"2430","燦坤","629000","17163450","27.40","27.45","27.05","27.40","0.0500","318"
"2431","聯昌","1842000","26346950","14.75","14.90","13.80","13.85","-1.1000","635"
"2433","互盛電","207000","11190300","54.50","54.50","53.80","53.80","-0.7000","132"
"2434","統懋","18000","715100","38.85","40.00","38.85","40.00","1.4500","16"
"2436","偉詮電","20457000","1684519300","82.10","84.40","80.20","81.30","-1.0000","11025"
"2438","翔耀","292000","3540400","12.90","12.90","11.90","11.95","-1.0500","145"
"2439","美律","3470000","418914000","124.00","124.00","119.00","121.50","-5.0000","2330"
"2440","太空梭","6502000","163044200","24.95","26.50","24.90","24.90","-2.7500","3021"
"2441","超豐","8202000","607920600","74.80","75.70","73.00","73.50","0.1000","4811"
"2442","新美齊","2922000","34031100","11.95","11.95","11.50","11.55","-0.3500","788"
"2443","億麗","352000","1140640","3.32","3.42","3.02","3.03","-0.2800","97"
"2444","兆勁","1222000","18869900","16.05","16.05","15.20","15.25","-0.7500","563"
"2449","京元電子","19173000","949876450","49.55","50.40","48.55","49.00","-0.5000","9920"
"2450","神腦","584000","20293750","35.90","35.90","34.00","34.25","-1.6000","380"
"2451","創見","5074000","403548800","80.50","82.40","77.40","79.20","-1.3000","3310"
"2453","凌群","2531000","65766350","27.35","27.45","25.50","25.50","-1.8500","1474"
"2454","聯發科","24879000","27885040000","1175.00","1175.00","1080.00","1105.00","-80.0000","15125"
"2455","全新","2684000","309529000","116.00","117.50","113.00","114.00","-3.0000","1757"
"2456","奇力新","5840000","626005000","109.00","110.00","105.50","106.00","-5.0000","3806"
"2457","飛宏","32986000","1321495050","41.20","42.40","38.70","38.70","-4.2500","16548"
"2458","義隆","8177000","1700551000","215.00","217.00","203.00","205.50","-9.0000","5208"
"2459","敦吉","271000","14785500","55.00","55.20","54.10","54.10","-1.0000","211"
"2460","建通","3206000","130823900","41.50","42.05","40.10","40.30","-1.2000","1965"
"2461","光群雷","3374000","77165950","23.20","23.55","22.45","22.80","-0.2500","1147"
"2462","良得電","859000","25876550","31.65","31.65","29.60","29.75","-1.9000","339"
"2464","盟立","3077000","148370850","49.85","49.85","47.50","47.70","-1.5000","1969"
"2465","麗臺","2647000","122189800","48.50","48.80","43.55","44.00","-2.5000","1776"
"2466","冠西電","108000","3688650","34.60","34.60","34.00","34.20","-0.4000","58"
"2467","志聖","1786000","98888900","57.50","57.60","54.30","54.50","-2.3000","1090"
"2468","華經","1752000","26833600","15.00","15.80","14.85","15.60","0.8500","699"
"2471","資通","737000","21547950","29.70","29.95","28.80","28.90","-0.8000","416"
"2472","立隆電","2188000","147698000","69.90","69.90","66.00","66.00","-4.2000","1482"
"2474","可成","5057000","979360000","197.50","198.00","191.50","191.50","-6.0000","3611"
"2476","鉅祥","16444000","626978700","39.05","39.30","37.35","37.50","0.3000","7115"
"2477","美隆電","3311000","131537450","40.25","40.70","38.30","38.55","-1.7000","1453"
"2478","大毅","1230000","92036900","77.00","77.20","74.00","74.00","-3.0000","823"
"2480","敦陽科","495000","35000000","71.50","71.50","70.40","70.50","-1.1000","354"
"2481","強茂","9829000","555235100","58.30","58.50","54.90","55.50","-3.5000","5448"
"2482","連宇","1052000","14664250","14.60","14.80","13.40","13.60","-1.2500","443"
"2483","百容","346000","7802450","22.75","23.00","22.15","22.20","-0.7500","186"
"2484","希華","4554000","135547450","30.65","30.65","29.20","29.20","-1.6000","2225"
"2485","兆赫","16524000","392718300","25.50","25.50","22.95","22.95","-2.5000","6991"
"2486","一詮","5437000","174985500","33.75","33.75","31.55","31.55","-2.1500","2710"
"2488","漢平","659000","21481100","33.40","33.55","32.15","32.25","-1.1000","386"
"2489","瑞軒","32537000","628344350","19.90","19.95","19.00","19.05","-1.0000","9840"
"2491","吉祥全","1156000","26559450","24.20","24.50","22.15","24.00","-0.6000","559"
"2492","華新科","9108000","2119330000","241.00","242.00","228.50","228.50","-14.0000","6478"
"2493","揚博","1381000","54309650","40.00","40.00","38.80","38.95","-1.4000","848"
"2495","普安","23503000","587378050","24.95","25.10","24.10","25.10","2.2500","6438"
"2496","卓越","32000","1884900","59.20","59.20","58.40","58.40","-1.1000","26"
"2497","怡利電","945000","30251050","33.85","33.85","30.70","30.80","-3.2500","579"
"2498","宏達電","29402000","1257094050","42.00","44.15","41.05","42.15","0.5500","13948"
"2501","國建","2041000","43451100","21.45","21.50","21.15","21.15","-0.3000","658"
"2504","國產","11430000","321557800","28.40","28.95","27.35","27.50","-1.0500","3627"
"2505","國揚","2904000","100221000","35.00","35.25","33.90","33.90","-1.1500","1089"
"2506","太設","1490000","16974450","11.65","11.70","11.25","11.25","-0.3500","445"
"2509","全坤建","4956000","105519700","22.10","22.35","20.70","21.10","-1.0000","2475"
"2511","太子","4575000","57412100","12.55","12.75","12.40","12.60","0.0000","1089"
"2514","龍邦","595000","11310000","19.45","19.50","18.80","18.85","-0.6000","242"
"2515","中工","35572000","374065600","10.80","10.85","10.30","10.40","-0.4000","7127"
"2516","新建","1965000","12407750","6.55","6.55","6.15","6.28","-0.3100","580"
"2520","冠德","3479000","151025050","43.55","43.70","43.20","43.35","-0.2500","1667"
"2524","京城","126000","4849600","38.80","39.10","38.15","38.20","-0.9000","93"
"2527","宏璟","1336000","31597850","24.15","24.30","23.20","23.40","-0.7000","507"
"2528","皇普","207000","4918300","23.90","24.00","23.60","23.65","-0.2000","42"
"2530","華建","1316000","18902000","14.50","14.55","14.05","14.30","-0.2000","381"
"2534","宏盛","2161000","48390350","22.60","22.65","22.20","22.40","-0.2500","955"
"2535","達欣工","3500000","125372600","36.60","36.60","35.35","35.60","-1.1500","2061"
